,Título,Apoyos,Fecha,Categoría,Categoría Completa,Autores,URL,Descripción
10,Chile país carbo neutral como estrategia de desarrollo sostenible,455,2022-01-25 00:54:43,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Luis Otero D.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Chile ha pasado a ser un país emisor neto de gases efecto invernadero, cada chileno emite alrededor de 5 tonedas anuales de CO2 y otros gases y el país sólo captura alrededor del 60% a través de sus ecosistemas. Los mercados mundiales demandarán cada ves más productos con baja Huella de carbono, peligrando nuestras exportaciones y economía."
11,"Derecho a un Barrio Vivo patrimonial y preservación de originalidad arquitectónica, vestigios e historicidad como legado y mejor calidad de vida.",201,2022-01-25 00:54:30,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Leonardo Soto Palma,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Es el barrio degradado por constante despojo de áreas públicas, no se han podido detener las afectaciones o tomas de bienes nacionales de uso público ni por las autoridades ni por JJVV e instituciones a pesar de reclamos y constancias derivadas en Juzgados de Policía Local. No han sabido priorizar sus responsabilidades en fiscalizar y cuidar sus áreas verdes públicas en Barrios Patrimoniales afectando la imagen histórica desde su originalidad y relevancia constructiva y arquitectónica (Se ocultan muros de bloques y fachadas, hay desaparición de espacios de circulación comunitaria y deterioro y pérdida de calles, áreas verdes y vestigios como soporte patrimonial).
Faltan espacios de estacionamientos, estos no deben realizarse en desmedro de áreas públicas, hay que privilegiar la conservación como tal y permitir cambios mínimos de paisajismo de dichas áreas originales que rodean los barrios porque le dan espacialidad y amplitud evitando el hacinamiento barrial.
La problemática principal es la degradación de un barrio de interés patrimonial y la pérdida de sus alrededores en su originalidad como áreas públicas, comunitarias y esparcimiento y por consiguiente la pérdida de su identidad o imagen patrimonial en su conjunto.
La desaparición constante de bienes nacionales de uso público como áreas verdes naturales de esparcimiento y recreación comunitaria en alrededores por afectación particular a beneficio propio que degradan barrios históricos en barrios hacinados ya sea declarados patrimoniales y/o de interés patrimonial en su imagen arquitectónica de conjunto, historicidad y sistema constructivo, como potencial legado histórico de preservación y atractivo turístico por sus vestigios, que reafirme el sentido de pertenencia, remueva conciencia por valorar una forma de vida única hacia mejorar la calidad de vida y garantice el derecho humano a un barrio con riqueza patrimonial arquitectónica, ambiente natural, revitalización y su pervivencia."
12,servicio social  como opción frente al servicio militar,154,2022-01-25 00:54:18,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Ximena Gálvez M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El servicio militar es un servicio a la patria, concebido para preparar a los ciudadanos varones a defender el territorio chileno frente a una amenaza de guerra o un ataque  foráneo. También ha sido  considerado culturalmente como una escuela de disciplina y hombría para los jóvenes demasiado delicados o  rebeldes. Sin embargo, hoy en día estos fines se presentan anacrónicos frente a una sociedad que ha ido cambiando drásticamente sus paradigmas de género y frente a a la guerra. Hay muchos  jóvenes que  son pacifistas y se oponen al uso de armas en contra de otro ser humano. También hay muchos varones que no se identifican con el perfil de rudeza y sometimiento que exige el paso por los cuarteles, siendo incluso una vivencia traumática para algunos. Por otra parte, aun cuando la elección de los convocados es ""aleatorio y transparente"" , de una otra forma los que terminan siendo  obligados a acuartelarse son en su mayoría jóvenes de estratos bajos. Finalmente, vemos que en la práctica, la preparación guerrera de nuestros jóvenes poco aporta a la sociedad chilena o al sostenimiento del país. 
Actualmente en Chile el servicio militar es obligatorio para los hombres y voluntario para las mujeres. El acuartelamiento obligado a un joven mayor de 18 años depende de si faltan o no conscriptos para  llenar el cupo anual requerido, luego de haber recibido a los voluntarios. La elección de los convocados se realiza por sorteo. Si un joven está estudiando y es convocado, puede prorrogar su cumplimiento."
13,Constitución y Salud: Modernización del Estado ,224,2022-01-25 00:54:08,derechos,4 - Derechos Fundamentales,Por Jaime Calderón R.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"No hay un acceso igualitario y oportuno a los servicios de salud. Hay una salud para los pacientes Fonasa, otra salud para los pacientes de seguros privados, otra salud para los pacientes de los hospitales de las FFAA. 
Hay un serio problema del Estado en solucionar los problemas de la salud con falta de especialistas, listas de espera, postergación de cirugías a pesar del aumento continuo del gasto."
14,"Caza y su relación con la agricultura, la subsistencia familiar y los ecosistemas",1397,2022-01-25 00:53:57,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Coalición De Armas Legales,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La caza en Chile se encuentra regulada, el ente encargado de su administración y fiscalización es el Servicio Agrícola y Ganadero (SAG). La Ley de Caza regula las especies, cuotas, medios de caza y captura, temporadas en las que se puede efectuar. 

Todas las especies de caza permitidas son, en cierta medida, invasoras o su proliferación requieren ser controlada por los efectos dañinos en la agricultura nacional y en el equilibrio de los ecosistemas."
15,Fin de Binominal 2.0 y cuotas en puestos de elección popular... Deben ser electos o electas los mas votados... La democracia es de mayorías,569,2022-01-25 00:53:47,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Marcelo Cabrera C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El gran problema de nuestra política es que los candidatos electos no son necesariamente los que la mayoría de los votantes apoyan y quieren, un porcentaje importante de los parlamentarios, ediles y constituyentes no son representativos de la decision del pueblo y las mayorias. 
El actual sistema electoral busca mantener el poder en grupos políticos y partidos, pero no busca respetar la decisión del pueblo y de las mayorías. 
Más aún, la democracia se daña, cuando se asignan cupos reservados o se establece paridad entre los electos, pasando por alto la decision del pueblo soberano."
16,Educación  superior gratuita universal con devuelta de mano a Chile,519,2022-01-25 00:53:36,derechos,4 - Derechos Fundamentales,Por Rolando Aguilera G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Buenas noches. En referencia a Educación superior gratuita universal, debiera ser para todos los que tengan el interés en estudiar, solo 1 carrera será financiada por el Estado, una vez egresado debo por gratitud devolver al Estado de Chile, por la educación entregada 1 o 2 años de servicios remunerados sobre un sueldo promedio y acorde al mercado. Así tendríamos profesionales para educación, salud, vivienda, energía, legales, etc. Con quienes podremos mejorar la Salud, educación y vivienda, que son Derechos que están consignados en la Constitucion y que hasta hoy en día no son garantizados. Esa es mi propuesta, muy factible y que solo necesita voluntad Política y del pueblo para llevarse acabo."
17,Megatrawun periódico gobierno y pupeñi. ,13,2022-01-25 00:53:20,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Ignacio Navarrete O.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Mega trawun con los lonkos de los tres mil lof mapuches, periódico, para establecer mesa de diálogo efectivo con el gobierno."
18,"Centro Audiovisual de Televisión Chilena, ex TVN",34,2022-01-25 00:52:37,conocimiento,"7 - Sistemas de Conocimientos, Culturas, Ciencia, Tecnología, Artes y Patrimonios",Por Guillermo Valenzuela A.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En mi experiencia de más de 10 años como guionista de Televisión Nacional de Chile, siempre me pareció que el canal no cumplía con su misión social en la generación de contenidos, ni mucho menos en el acceso de personas con potencial creativo y técnico, sesgado por la administración privada y el cuoteo político de su estructura directiva, de naturaleza excluyente y nepótica. Esta admistración política, que lleva años de inactividad en la actualidad, no ha movido un dedo para cambiar la mala situación del Canal, que vive del ratig de un matinal. TVN dejó de ser lo que era y a nadie le importa su postración. TVN no genera ni compite en el mundo audiovisual, no tiene relevancia para la identidad nacional, dejando a Chile relegado a una parálisis creativa en el mundo audiovisual. Por lo tanto, transformar Televisión Nacional en un Centro Audiovisual de Televisión Chilena, cuyo objetivo sería crear, formar, producir y difundir contenidos educativos, patrimoniales, de deportes, ciencia, ficción y documentales, con producción local para ser llevado a todas las plataformas."
19,Reconocimiento de Chile como un estado inclusivo y neurodiverso,244,2022-01-25 00:52:08,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Corporación por la Neurodiversidad Los Ríos,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La problemática se origina por una falta de reconocimiento y protección constitucional de la neurodiversidad. Esta noción, promovida desde la década del 90 del siglo pasado,  plantea la necesidad ética de reconocer y valorar la diversidad neurológica humana y, en consecuencia, la diversidad de funcionamiento y desempeños de las personas en la vida social. A lo largo de la historia, las personas que se han apartado de ciertos modelos de funcionamiento, tales como las personas diagnosticadas con el trastorno del espectro autista (TEA) han sido objeto de patologización y medicalización. Por tanto, han sufrido restricciones formales e informales al goce y ejercicio de sus derechos. 
Si bien la Constitución actualmente vigente señala expresamente,  en su artículo primero, inciso primero, que las personas nacen libres e iguales en dignidad y derechos, y otras disposiciones constitucionales garantizan la igualdad en el trato y las oportunidades, resulta evidente que la diversidad neurológica implica en muchos casos una fuente de vulnerabilidad ante la discriminación y, en general, acarrea grandes obstáculos en materia de inclusión social, que no son adecuadamente resueltos por nuestra legislación. Así, por ejemplo, en la actualidad no se contemplan programas de salud y/o educación especializados que den cobertura a las necesidades de intervención terapéutica de carácter permanente que sean capaces de otorgar respuesta a las necesidades de apoyo y acompañamiento psicosocial de las familias con integrantes con Trastorno del Espectro Autista (TEA) y demás condiciones neurodiversas. Uno de los cuantos perjuicios que produce dicha falencia es la existencia de demoras en el diagnóstico requerido por las familias, cuando ya es sabido por la comunidad científica que el TEA puede ser diagnosticado, de forma estable, en un periodo de dos años, lo que permitiría la reducción de intervenciones posteriores. De hecho, la propia Academia Americana de Pediatría (AAP) recomienda la aplica"
20,"ASAMBLEA CULTURAL DE LA SOCIEDAD CIVIL (CIUDADANÍA), PERMANENTE Y AUTÓNOMA.",460,2022-01-25 00:51:56,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Pablo Porcel C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Son necesarias nuevas formas de participación entre gobierno y sociedad civil que encaucen las necesidades civiles en forma independiente al Estado. 

Tales necesidades se refieren a la educación, a la salud, al cuidado del medio ambiente, al uso responsable de la tecnología, y en general a todas aquellas situaciones en que la vida cultural puede brindar soluciones a las necesidades de un pueblo, donde la libertad de vocación y de iniciativa, la amplitud de miras y pluralidad, son esenciales. 

A causa de la preminencia del poder económico-financiero sobre el poder político-estatal y éste a su vez sobre la sociedad civil y su relación con la cultura, la corrupción de los estados políticos en general es flagrante. Hay urgencia de mayor inclusión y libertad cultural de la sociedad civil en Chile y en el mundo global. 

La Convención Constitucional en Chile es un éxito reconocido y observado en muchas partes del mundo justamente como una conquista de la sociedad civil no partidista. Hay un activo debate científico en el área de las ciencias sociales y políticas acerca de los tres sectores que constituyen la sociedad: Estado, mercado y sociedad civil (1). 

Es necesario los asuntos civiles sean constantemente tratados por representantes culturales de la ciudadanía para profundizar en una democracia participativa que equilibre también el problema de la violencia de la polarización entre derecha e izquierda.  

La sociedad civil es un concepto antiguo y complejo en pleno resurgimiento desde fines del siglo XX como tercer sector, a consecuencia de la pérdida de confianza en los estados políticos nacionales, por la intromisión económica en ellos, así como también en las organizaciones políticas internacionales lo hacen las empresas transnacionales de carácter económico (2). 

(1) COHEN JEAN /ARATO, ANDREW (1992). Civil Society and Political Theory.

(2) NICANOR PERLAS (1999). Sociedad civil y desarrollo humano en la globalización."
21,"Creación de la Nueva Región de los Vinos, Curicó y Colchagua.",30,2022-01-25 00:51:40,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Diego Casanova N.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La Región del Maule está dividida en 2 distritos electorales, 17 y 18, en Maule Norte y Maule Sur, y sus Clusters económicos de desarrollo local si bien son variados en el Maule, están concentrados en zonas específicas, por lo que culturalmente, económicamente y socialmente son muy distintos. A pesar de estas diferencias, la concentración del poder regional para la toma de decisiones está en Talca, afectando la priorización de acciones sociopolíticas, de proyectos locales, como también el desarrollo de su autonomía."
22,Derecho Humano al Agua y Gestión Participativa de las Cuencas,324,2022-01-25 00:51:31,derechos,4 - Derechos Fundamentales,Por Taller de Estudios de La Realidad Agraria,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En oposición a la visión dual del agua de ONU como un derecho humano y un recurso económico, el código de aguas de 1980 estableció normas de elección de la directivas para que sean elegidas por cantidad de acciones de agua y no por número de  regantes, con lo cual se hegemoniza hacia la visión jerarquizada de los grandes regantes o mayores poseedores de derechos, generándose  un sesgo hacia una mirada del agua solo como recurso económico, coartándose la doble visión del agua como derecho humano y recurso económico que poseen la mayoría de los pequeños agricultores que son regantes.

El desequilibrio de poder entre grandes y pequeños agricultores en las organizaciones de regantes y/o de usuarios de agua implica en la generalidad de los casos elegir directivas conformadas por los principales dueños de derechos de agua, los cual impide a su vez el desarrollo de un sistema de gestión participativa desde la base, que es uno de los requisitos principales  para poder impulsar hoy  una gestión integrada de las cuencas que sea sustentable y por ende participativa, donde se pondere el conjunto de las visiones"
23,Iniciativa para la Creación de Nuevas Fuerzas Armadas y Policia para Chile. ,112,2022-01-25 00:51:20,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Marcelo Daniel Mackinnon,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Mi propuesta es la Creacion de unas Nuevas Fuerzas Armadas y Policia en Chile.) Las actuales  F. F. A. A y Policia no estan plenamente integradas a la Sociedad Chilena, funcionan como una Casta Privilegiada y con un espiritu de antagonismo y hostilidad hacia la Ciudadanía Civil. Gran parte de la Sociedad tiene sentimientos negativos hacia estas instituciones, por lo tanto para ayudar a la Paz Social y Convivencia se deberia crear organizaciones  Militares y Policias con un nuevo sistema de Ingreso y Formación profesional."
24,DERECHO AL TRABAJO Y VIDA DIGNA  EN LA MAR  ,242,2022-01-25 00:51:09,derechos,4 - Derechos Fundamentales,Por FESIMAR  Federación de sindicatos marítimos y afines,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El mayor problema en el sector marítimo ya sea Marina Mercante nacional o pesca . Es la falta de fiscalización, compromiso con los trabajadores y medio ambiente por parte de la autoridad competente  ya sea DIRECCION DEL TRABAJO o DIRECTEMAR dirección del territorio marítimo y marina mercante dependiente de la ARMADA ( entidad militar en asuntos civiles)  y ministerio de defensa.
Debido a la rara complejidad de nuestros entes fiscalizadores, por un lado civil DIRECCION DEL TRABAJO y por otro de carácter militar ( mando piramidal)  DIRECTEMAR, es que los derechos laborales de la gente de mar queda en el limbo o a merced de tribunales laborales que en su mayoría falla a favor de los armadores o empresas navieras o simplemente quedan archivados en algún cajón.
La constante vulneración de derechos de  los trabajadores marítimos a causado accidentes que han afectado no solo en lo laboral sino también en el aspecto medio ambiental con la consiguiente contaminación de los mares territoriales chilenos , la deserción o desinterés por el rubro marítimo y en otros casos con la perdida de vidas humanas.
Todo esto sucede a pesar de nuestras leyes vigentes, de los convenios firmados y ratificados por el estado chileno como el MLC2006   Convenio sobre el trabajo marítimo    Convenio que fija en un sólo instrumento el derecho de marinos y marineros a condiciones de trabajo decentes en casi todos los aspectos de su entorno laboral y vital, incluyendo, entre otros, la edad mínima, los acuerdos laborales, las horas de descanso, el pago de salarios, las vacaciones anuales pagadas, la repatriación a término de contrato, la atención medica a bordo, el uso de servicios privados autorizados de contratación y colocación, el alojamiento, la alimentación y el servicio de comidas, la protección de la seguridad y la salud y la prevención de accidentes, y los procedimientos de tramitación de quejas de los marineros. O MARPOL que habla de los cuidados medio ambientales"
25,"REGULACION DE LOS MERCADOS, LA ESCENCIA DEL MODELO NEOLIBERAL.",36,2022-01-25 00:50:53,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Luis Pardo G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El modelo de economía chilena actual, herencia de la Constitución de 1980, deja al Estado de Chile como mero espectador, sin opción constitucional de intervenir para proveer servicios a las personas. 
Tales servicios, como son LAS PENSIONES, LA EDUCACIÓN, EL ACCESO A LA VIVIENDA, entre otros,  son prestaciones que las Instituciones Intermedias (las empresas) proveen, satisfaciendo tales necesidades, en lo que se ha llamado el modelo neoliberal; y a tal pasividad del Estado, se le ha llamado como el principio de Subsidiariedad,en el cual el Estado subsidia a las empresas para proveer tales servicios. 
Este principio no está explícita mente mencionado en la citada Constitución de 1980, reformada por la del 2005 por Ricardo Lagos Escobar, pero con modificaciones de forma, mas que de fondo, y donde precisamente se mantuvo esta lógica neoliberal de ser el Estado de Chile, un estado subsidiario.  
Uno de los aspectos mas reveladores en el impedimento del actuar del Estado, es en la necesidad de tener que proceder a la regulación de los mercados, en términos de que la competencia EFECTIVAMENTE se produzca en ellos.
Es de SUMA URGENCIA, reponer, pero bajo una Norma Constitucional, la intervención del Estado bajo una norma automática que alerte respecto del grado de concentración económica de los mercados.
         No es posible hoy, que las Municipalidades tengan que estar interviniendo en los mercados del Gas por ejemplo, pues LIPIGAS, GASCO y ABASTIBLE, deciden coludirse y sacar ventajas de haberse convertidos en un oligopolio que controla los precios de venta del preciado insumo que representa mas de un 15% del presupuesto de los hogares.
         Ejemplos al respecto hemos tenido de sobra en Chile, con el papel higiénico, los pollos, los supermercados, etc.  	
	Hoy día esta facultad queda a la potestad de la Fiscalía Nacional Económica, que investigado el hecho pasa al Tribunal de la Libre Competencia, que bajo esta denuncia, actúan sancionando a la luz de l"
26,"SALUD UNIVERSAL HOSPITALES DE ULTIMA GENERACION, cómo y de qué forma conseguir implementarla en Chile",133,2022-01-25 00:49:57,derechos,4 - Derechos Fundamentales,Por José Gaete N.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Soy una persona de la 3a edad, profesional de la Universidad de Chile.
La idea es que el Estado como FISCO, pueda comprar y dotar a todos y cada uno de  los Hospitales de Chile, de los mejores Equipos de última generación que existen en el mundo, para atender las distintas especialidades médicas, en todo el país de forma gratuita, con estándares de alta capacidad en lo profesional y en lo tecnológico, con eficacia y eficiencia de los recursos humanos, de infraestructura y tecnológicos. 
De esta manera, generar un cambio sustancial en la calidad y oportunidad, de atención de los pacientes del país, especialmente en aquellas localidades apartadas de los centros urbanos importantes de Chile, llegando a través de la Telemedicina, donde sea requerida, la intervención y/o participación en vivo, de los mejores especialistas, de manera que siempre, cada paciente estará en la mejores manos en cada intervención."
27,El Agua como desarrollo sustentable,185,2022-01-25 00:47:46,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Mauricio Alejandro Rosales Masías,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,La actual política y derecho al agua no es conveniente con la situación climatológica actual
28,Salud pública para animales de compañia,320,2022-01-25 00:47:12,derechos,4 - Derechos Fundamentales,Por Mirtha Rojas O.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema que afecta a los dueños de animales de compañia es que si se enferman la hospitalizacion, los medicamentos e incluso la consulta veterinaria es muy cara. Muchas personas que cuidan a estos animales de compañia no siempre cuentan con los recursos necesarios para su atencion medica,  debido a eso muchos animales se encuentran en abandono.
Si tuvieramos en nuestro sistema de salud publico (Fonasa) una inclusion de animales de compañia en la carga familiar se verian beneficiado con atencion oportuna el animal y la persona a cargo de su cuidado."
